Region,Institution Name,Institutional Type,Province,Municipality_City,Website Address,Fax_Telephone No.
17 - MIMAROPA,Palawan State University-Quezon,SUC Satellite,Palawan,Quezon,http://www.psu.palawan.edu.ph,(048) 433-5303; (048) 433-2379
17 - MIMAROPA,Palawan State University- Balabac,SUC Satellite,Palawan,Balabac,http://www.psu.palawan.edu.ph,(048) 433-5303; (048) 433-2379
17 - MIMAROPA,Santa Cruz Institute-Marinduque,Private HEIs,Marinduque,Sta. Cruz,,(042) 321-1037
17 - MIMAROPA,Romblon State University-San Andres Campus,SUC Satellite,Romblon,San Andres,www.rsu.edu.ph,0949-6984643
17 - MIMAROPA,Southwestern Institute of Business and Technology,Private HEIs,Oriental Mindoro,Pinamalayan,www.sibtech.edu.ph,0918-9918031
17 - MIMAROPA,Baco Community College,LUCs,Oriental Mindoro,Baco,,0926-7435829
17 - MIMAROPA,Occidental Mindoro State College-Labangan Campus,SUC Satellite,Occidental Mindoro,San Jose,www.omsc.edu.ph,(043) 457-0259
17 - MIMAROPA,Palawan State University-Coron,SUC Satellite,Palawan,Coron,http://www.psu.palawan.edu.ph,(048) 433-5303; (048) 433-2379
17 - MIMAROPA,Marinduque State College-Torrijos Campus,SUC Satellite,Marinduque,Torrijos,https://marinduquestatecollege.edu.ph,(042) 753-0385
17 - MIMAROPA,"Palawan State University-New Ibajay, El Nido",SUC Satellite,Palawan,El Nido,http://www.psu.palawan.edu.ph,(048) 433-5303; (048) 433-2379
17 - MIMAROPA,Seminario De San Jose,Private HEIs,Palawan,Puerto Princesa City,http://ssjpalawan.org,(048) 433-2507; (048) 434-3310
17 - MIMAROPA,Luna Goco Colleges-Calapan,Private HEIs,Oriental Mindoro,Calapan City,,(043) 286-7208
17 - MIMAROPA,Polytechnic University of the Philippines-Sablayan Campus,SUC Satellite,Occidental Mindoro,Sablayan,http://www.pup.edu.ph,
17 - MIMAROPA,Eastern Mindoro College,Private HEIs,Oriental Mindoro,Bongabong,,(043- 283-5479
17 - MIMAROPA,Divine Word College of San Jose,Private HEIs,Occidental Mindoro,San Jose,www.dwcsj.com,(043) 491-1523; (043) 491-4503
17 - MIMAROPA,Romblon State University-Sta. Maria Campus,SUC Satellite,Romblon,Sta. Maria,www.rsu.edu.ph,0949-8196635
17 - MIMAROPA,"CLCC Institute of Computer, Arts & Technology",Private HEIs,Oriental Mindoro,Calapan City,,(043) 288-2389
17 - MIMAROPA,Ark of the Covenant Montessori Chamber of Learning College,Private HEIs,Oriental Mindoro,Victoria,,(043) 285-5381
17 - MIMAROPA,Romblon State University-San Agustin Campus,SUC Satellite,Romblon,San Agustin,www.rsu.edu.ph,
